"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"fixed","cond","Island",0.344311229709493,0.252517492313523,1.36351437104405,0.172720458419167,-0.150613960691382,0.839236420110368,"Macro-moths"
"fixed","cond","GDP_AVG5Y",2.12996384004351,0.929849710363404,2.29065387266838,0.0219834404611445,0.307491896696234,3.95243578339078,"Macro-moths"
"fixed","cond","Area_SqKms",2.19156158330062,0.746652883519818,2.93518130268153,0.00333352850012493,0.7281488226488,3.65497434395244,"Macro-moths"
"fixed","cond","DensPop",-3.0031267367004,3.08162950972725,-0.974525564225338,0.329795652302368,-9.04300958946164,3.03675611606083,"Macro-moths"
"fixed","cond","AgricultureCultivated_Area_100",1.39218129154806,0.597063162522885,2.33171526721798,0.0197156751116122,0.221958996507621,2.5624035865885,"Macro-moths"
"fixed","cond","Urban_Area_100",0.791837013193929,2.8869934121804,0.274277388321401,0.783871459956201,-4.86656609828406,6.45024012467191,"Macro-moths"
"fixed","cond","Forest_Area_100",0.328012890194504,0.395174093435235,0.830046543140264,0.406512469186564,-0.446514100561822,1.10253988095083,"Macro-moths"
"fixed","cond","MeanAnnualTemperature",-0.861179798937783,0.541839581860009,-1.58936302877976,0.11197845643286,-1.92316586478164,0.200806266906077,"Macro-moths"
"fixed","cond","AnnualPrecipitation",-0.290674178117037,0.699700649892003,-0.415426480112462,0.677829725179234,-1.66206225186463,1.08071389563056,"Macro-moths"
"fixed","cond","InvBias_SC",2.07694085635243,0.378871565147286,5.48191273088816,4.20751784295606e-08,1.33436623389743,2.81951547880743,"Macro-moths"
